grain,period_start,period_end,video_id,channel_id,channel_name,title,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_snapshots,latest_views,latest_likes,latest_comments
weekly,2026-05-18,2026-05-24,QAkEMtJpq3c,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,"Hit The Button, Win $1,000",151808119,781676,12510,0.008242,5,261376490,1789485,55278
weekly,2026-05-18,2026-05-24,dqpCvSU-ECE,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,If This Goes In You Have To Subscribe,36717471,339961,4084,0.025479,5,39705516,496753,12422
weekly,2026-05-18,2026-05-24,A_TI_Wct288,UCGmnsW623G1r-Chmo5RB4Yw,KSI,"$1 vs $50,000 Katana",36119848,582462,1802,0.019877,5,62691631,1152153,3920
weekly,2026-05-18,2026-05-24,SllXaJiQjBA,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Every Youtube Play Button,28919566,263186,4877,0.027767,3,32592748,446309,15799
weekly,2026-05-18,2026-05-24,hCuqh2NU2Yg,UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,World's Fastest Date,23578162,306961,867,0.021411,5,104683509,2127055,14913
weekly,2026-05-18,2026-05-24,PJmv9cFz6bw,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Kai Cenat & Druski Thought They Would Win The MVP Award 😂,8167581,55117,164,0.010817,5,14546288,136792,481
weekly,2026-05-18,2026-05-24,uW4B6ziQqvY,UCK8sQmJBp8GCxrOtXWBpyEA,Google,What is Gemini Omni?,8004732,664,41,0.014634,3,8044147,2154,216
weekly,2026-05-18,2026-05-24,fp77qbUJJbQ,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,"Break The Glass, YOU LOSE",7841089,115903,99,0.01789,5,31069788,541091,868
weekly,2026-05-18,2026-05-24,_iQKpZvj7UQ,UCrPseYLGpNygVi34QpGNqpA,Ludwig,Maybe I shouldn't have lied to him...,5178474,140301,176,0.031523,4,5516086,154332,215
weekly,2026-05-18,2026-05-24,NnvIwG0S8WE,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,Tennis Ball Cannon vs Human Strength,4826617,66701,70,0.017862,5,17188208,296766,372
weekly,2026-05-18,2026-05-24,gNwzZxHjEOs,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tried Anti-Scream Devices,3954225,159952,849,0.043682,5,10164709,434429,3013
weekly,2026-05-18,2026-05-24,t5BxJhllmi4,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,Fanum Can't Get Over How Tall Kai Cenat Is 😭,3858204,92795,193,0.02547,4,4905564,121704,317
weekly,2026-05-18,2026-05-24,Qqwn4rzZ-Dk,UC415bOPUcGSamy543abLmRA,Cleo Abram,Is There Life on Venus?,2700221,96173,688,0.038157,5,7437698,278412,2283
weekly,2026-05-18,2026-05-24,KHooqK3Hijs,UCWsDFcIhY2DBi3GB5uykGXA,IShowSpeed,iShowSpeed vs Jamal Jump Challenge,2612878,103899,703,0.050874,3,4604369,215412,2382
