content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
shorts,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,permutation_importance_mean,-0.00010844,14,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,permutation_importance_std,2.163e-05,14,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,ai_semantic_score,semantic_scores,impurity_importance,0.00010099,14,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,permutation_importance_mean,0.00030829,10,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,permutation_importance_std,1.14e-05,10,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,alpha_score,engagement_context,impurity_importance,0.00059676,10,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,permutation_importance_mean,0.02873536,2,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,permutation_importance_std,0.00114668,2,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_momentum_score,channel_context,impurity_importance,0.01065444,2,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,permutation_importance_mean,0.00312347,4,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,permutation_importance_std,0.00057846,4,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,channel_relative_success_score,channel_context,impurity_importance,0.00272931,4,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,permutation_importance_mean,-2.64e-06,40,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,permutation_importance_std,6.2e-07,40,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,curiosity_semantic_score,semantic_scores,impurity_importance,5.14e-06,40,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,permutation_importance_mean,-5.665e-05,18,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,decision_score,model_decision,permutation_importance_std,5.235e-05,18,negative,primary
