content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
shorts,tJH_gXK_WBM,91.438,98.1307,0.99570533,108,81.399,high
shorts,ImG1BgHsqHk,91.1441,97.7289,0.99395062,131,81.267,high
shorts,uIcth4jt5yQ,90.8197,97.2746,0.98900128,157,81.1374,high
shorts,QUSaIk7EltQ,90.7564,99.144,0.99964702,50,78.175,high
shorts,vYp1Gn5-VqE,90.6249,99.3711,0.99994103,37,77.5056,high
shorts,uW4B6ziQqvY,90.2543,99.8253,0.99999999,12,75.8979,high
shorts,98bQUQUEEJs,90.0714,99.5458,0.9999714,27,75.8597,high
shorts,NkGPm95Awuo,90.0367,99.441,0.99995023,33,75.9302,high
shorts,NnfTjR19MCU,90.0189,99.109,0.99954708,52,76.3838,high
shorts,s7ssP0U7QkQ,89.9635,99.3885,0.99994673,36,75.8261,high
shorts,WGQbiztmSNw,89.9158,99.3361,0.99993462,39,75.7853,high
shorts,Jzo63vsmaUo,89.7657,99.3187,0.99992509,40,75.4362,high
shorts,X3kCgMfoCDY,89.6707,95.9993,0.97914728,230,80.1779,high
shorts,V9ttgoD6fDw,89.4617,98.3927,0.99672932,93,76.0652,high
shorts,thWVJij6ug8,88.9361,98.6024,0.99777349,81,74.4366,high
shorts,vmRbevilfpU,88.8229,96.0342,0.97927441,228,78.006,high
shorts,E8ygHD3wrkY,88.3337,96.1391,0.97978268,222,76.6255,high
shorts,vNXFk8iGHk8,88.2545,94.9336,0.96605049,291,78.2359,high
shorts,hmsoe6odgqE,88.1575,99.7205,0.99999725,17,70.813,high
shorts,bF-yc6HIDOU,88.1438,95.2306,0.96929649,274,77.5136,high
shorts,ezZmtloKPLY,87.5505,99.0391,0.99945813,56,70.3176,high
shorts,N0gTBFW_8BE,87.3766,95.4403,0.97256291,262,75.2811,high
shorts,WOTUpoI2LQA,87.1304,94.3396,0.95845872,325,76.3167,high
shorts,ynBFmpm215U,86.4474,96.9776,0.98681755,174,70.6522,high
shorts,Cr7oGnSzmb4,86.2308,97.659,0.99331204,135,69.0886,high
shorts,YrxWRTGeVwA,86.0246,98.0783,0.99560796,111,67.9441,high
shorts,Qkp7gsUed9U,85.9338,98.8644,0.99908685,66,66.5378,high
shorts,xFecVd5DJkg,85.7115,90.3389,0.87712834,554,78.7705,high
shorts,OwbaFLtBpkQ,85.5557,90.5835,0.88548698,540,78.0141,high
shorts,MIbiEwoMA-0,84.9604,96.2264,0.98057924,217,68.0614,high
shorts,KUyRq7szZsM,84.8344,94.095,0.9553601,339,70.9436,high
shorts,HxYnjRN1LjQ,84.7803,89.9371,0.86306406,577,77.045,high
shorts,IqdafQFuXYA,84.6691,89.7449,0.85723479,588,77.0554,high
shorts,Hk-ARbCTKzM,84.6343,95.9469,0.97840979,233,67.6653,high
shorts,CsFlbZvjWaI,84.4094,98.5674,0.9977363,83,63.1724,high
shorts,vmetvB91qVA,84.3627,94.2348,0.95684575,331,69.5545,high
shorts,PoHZWjU54jY,84.3168,95.6848,0.9754394,248,67.2649,high
shorts,WfvTaIkUku8,83.769,89.5877,0.85090479,597,75.041,high
shorts,xKrJ76jwnJE,83.0836,89.5702,0.85020046,598,73.3536,high
shorts,UPbaPjDGQIE,83.0503,93.6583,0.94679545,364,67.1383,high
shorts,WGPrHoWD5vc,82.8145,89.8847,0.86161408,580,72.2092,high
shorts,yIUDe9YH0ac,82.7239,89.4829,0.84621881,603,72.5855,high
shorts,vgwG6e9TFcw,82.5512,96.1915,0.9804066,219,62.0908,high
shorts,nQfoeRwjZ8c,82.4599,94.2697,0.95699369,329,64.7453,high
shorts,5VXu4nmx6Mo,82.4362,89.5353,0.84801919,600,71.7875,high
shorts,SllXaJiQjBA,82.4153,99.9825,1.0,2,56.0646,medium
shorts,KGeCwEOLPGE,82.3209,93.2215,0.94078601,389,65.9701,high
shorts,5wuHYQMnYhA,82.1897,91.6492,0.91143132,479,68.0004,high
shorts,1IlrOiuHTIg,81.9654,94.689,0.96324901,305,62.8801,high
shorts,9zD5AKmT_fw,81.7738,88.0503,0.79632999,685,72.359,high
shorts,buSliUsdoNs,81.7646,84.6261,0.63759678,881,77.4724,high
shorts,SsyeiSnP8MI,81.7351,93.1167,0.93960029,395,64.6626,high
shorts,tz9x_JbuqU8,81.6814,84.6785,0.63881058,878,77.1857,high
