grain,period_start,period_end,video_id,channel_id,channel_name,title,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_snapshots,latest_views,latest_likes,latest_comments
weekly,2026-05-18,2026-05-24,BTJGr78-zyw,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,"Professor Jiang: World War 3 Is About To Begin, Let Me Explain!",573027,17589,2544,0.033417,1,9585073,279376,40927
weekly,2026-05-18,2026-05-24,zXvygWE3Ess,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,How Alpha Particles Can Break Computer Chips,409987,11181,215,0.033187,1,2005128,65522,1023
weekly,2026-05-18,2026-05-24,ksn5yrsC3Wg,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,The Crystal That Could Destroy All Medicine,373200,5936,414,0.029315,1,6954572,192508,11365
weekly,2026-05-18,2026-05-24,XfGEMCb6BQU,UC415bOPUcGSamy543abLmRA,Cleo Abram,What's Hidden Under Antarctica?,215852,2838,-236,0.032247,1,4345831,135318,4820
weekly,2026-05-18,2026-05-24,V-z0k5xu1hM,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,UFO Roundtable: CIA Physicist Proves Aliens Exist!,193060,5122,776,0.037124,1,2917350,90431,17872
weekly,2026-05-18,2026-05-24,kCEg-LGz1K4,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,TOP: Los 7 monstruos que han existido en la DARK WEB,190898,9450,393,0.065359,1,654711,40523,2268
weekly,2026-05-18,2026-05-24,o6V2_tvL-CE,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,NEVER SAY THESE 4 WORDS!,146657,4646,107,0.03143,1,834837,25554,685
weekly,2026-05-18,2026-05-24,TIqrd6dCa8o,UC415bOPUcGSamy543abLmRA,Cleo Abram,Dark Energy Is Getting Weaker?,140560,5309,61,0.049043,1,5331811,258158,3330
weekly,2026-05-18,2026-05-24,rvVGTI7PFUQ,UCDfbsXLRCyk_LIkrtaTmliQ,PlanetaJuan,24 Horas en la ciudad Más Peligrosa del mundo 🇭🇹,129881,2357,163,0.031102,1,2067024,60050,4238
weekly,2026-05-18,2026-05-24,6OR4h0-HvvU,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,INFINITE QUEENS. Can Jynxzi Win?,121618,3294,168,0.04081,1,351800,13540,817
weekly,2026-05-18,2026-05-24,6Dj5ufzrZ78,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,Could Humans Evolve Flight?,120821,4417,50,0.048219,1,1225689,58021,1080
weekly,2026-05-18,2026-05-24,ZdIreEJnRHA,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,“La IA quiere convertirse en Dios” | Jesús G. Maestro (@JesúsGMaestro),105503,9555,1007,0.107741,1,105503,10285,1082
weekly,2026-05-18,2026-05-24,oZteZj3IPCs,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,"""Should I Sell My Company?""",102019,3775,30,0.040566,1,872505,34926,468
weekly,2026-05-18,2026-05-24,qKxaVy1cbTA,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Predator EXPOSED On Financial Audit,96594,1391,330,0.026525,1,757927,14879,5225
weekly,2026-05-18,2026-05-24,X1uxQzU3yLk,UC36xmz34q02JYaZYKrMwXng,Nate Gentile,Todo lo que ves es mentira. 👀,88398,3124,73,0.038736,1,97972,3703,92
weekly,2026-05-18,2026-05-24,0idqiLonGYI,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tested Every Zack D. Films Video,85720,2358,185,0.027042,1,4477360,112018,9057
weekly,2026-05-18,2026-05-24,MwJUN0a3IJg,UC1VLQPn9cYSqx8plbk9RxxQ,The Action Lab,The Strange Physics Behind the Oberth Effect,85554,3184,232,0.053982,1,203604,10289,702
weekly,2026-05-18,2026-05-24,R-dn3cfmBuU,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,ES OFICIAL: Estados Unidos reconoce la existencia de OVNIS,80865,4419,189,0.076104,1,1623971,114297,9293
weekly,2026-05-18,2026-05-24,v4LLsrjzaZY,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,You Can't Have Both,72125,2226,35,0.036782,1,319367,11565,182
weekly,2026-05-18,2026-05-24,6xUmuh2YDDI,UCDfbsXLRCyk_LIkrtaTmliQ,PlanetaJuan,Explorando el barrio MÁS PELIGROSO de Haití 🇭🇹,69316,2189,82,0.049081,1,625943,29031,1691
weekly,2026-05-18,2026-05-24,T_LWKGJDKgo,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Predator EXPOSED On Financial Audit,62266,1525,339,0.027423,1,2876847,63162,15731
weekly,2026-05-18,2026-05-24,9IYRd5TnC5M,UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering,The V-22’s prototype was even more dangerous,57537,3552,22,0.078321,1,406967,31482,392
weekly,2026-05-18,2026-05-24,ece6BgCjZkc,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tested Places After Closing (Again),47945,800,83,0.025386,1,625649,14569,1314
weekly,2026-05-18,2026-05-24,mau7mYCkWKE,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,TYLER1: CHESS GRANDMASTER.,42586,999,49,0.035309,1,664306,22229,1227
weekly,2026-05-18,2026-05-24,TkDWgKCjdtU,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,I Tested Every Zack D. Films Video (Again),42489,985,85,0.029609,1,1899380,50397,5842
weekly,2026-05-18,2026-05-24,kwEtOyaFhCA,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,Pulitzer Prize Historian: You Won't Notice Until It’s Too Late - Anne Applebaum,42342,960,143,0.033194,1,1586211,43349,9303
weekly,2026-05-18,2026-05-24,uhEyvEA4mUg,UCPgVPrgqpALC1s2e63fgKyg,elWacky,Pensó Que Apagó Directo e Intentó Lo Peor,41135,2535,73,0.077732,1,193909,14481,592
weekly,2026-05-18,2026-05-24,8_dh-IB9jZ8,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,6 BILLION PEOPLE WILL STARVE,40542,1498,85,0.030948,1,1477404,43094,2628
weekly,2026-05-18,2026-05-24,NdU6UdUKaYc,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,Scott Galloway: AI Wasn’t Built For You. The Rich Don’t Need You Anymore!,40180,730,106,0.023742,1,2471937,51347,7342
weekly,2026-05-18,2026-05-24,v2qvaHXaCdo,UCEQXxiYxNZbym9Fad7-n2Lg,Doctor Fisión,LA VÍA LÁCTEA PODRÍA SER MÁS PEQUEÑA DE LO QUE SE CREÍA 🌌,38867,1724,28,0.060951,1,137995,8282,129
weekly,2026-05-18,2026-05-24,ljenh9DoOfU,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,“Nos quieren hacer creer que no somos libres” | Jesús G. Maestro,38533,1274,66,0.057136,1,75311,4031,272
weekly,2026-05-18,2026-05-24,n-gYFcVx-8Y,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,GERMANY IS OVER,37658,1048,123,0.056669,1,4033577,198339,30238
weekly,2026-05-18,2026-05-24,pm5T5nKfZQM,UCJQQVLyM6wtPleV4wFBK06g,VisualPolitik,PÁNICO en el KREMLIN: La economía de GUERRA de PUTIN empieza a COLAPSAR @VisualPolitik,33030,1166,53,0.050443,1,279961,13504,618
weekly,2026-05-18,2026-05-24,PQZ2-kl18nY,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,EBT Final Boss | Financial Audit,30715,772,101,0.027478,1,1248764,26861,7453
weekly,2026-05-18,2026-05-24,MuIBo4XYlX4,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,Querido Dross la confesión del piloto,27020,1684,68,0.080029,1,898023,67792,4076
